#loc_id	ags	ascii	name	lat	lon	amt	plz	vorwahl	einwohner	flaeche	kz	typ	level	of	invalid
32383	G7003		Balzers	47.06895262060281	9.499397277832031		9496		4450	19.6		Gemeinde	6	151364	
32384			Eschen	47.21298032252528 	9.521799087524414 		9492		4141	10.3		Ort	7	151372	
32385	G7009		Gamprin	47.21642006708719	9.507637023925781		9487		1463	6.1		Gemeinde	6	151362	
32386			Mauren	47.21968470299384	9.540596008300781		9493		3718	7.5		Ort	7	151374	
32387			Nendeln	47.19711963167912	9.5416259765625		9485					Ort	7	151372	
32388	G7010		Ruggell	47.23333333333	9.529996		9491						6	35165	1
32389	G7005		Schaan	47.166959583140454	9.509868621826171		9494		5747	26.8		Gemeinde	6	151364	
35160			Schaanwald	47.21134782330764	9.562997817993164		9486					Ort	7	151374	
35161			Schellenberg	47.231575605425384	9.545917510986328		9488		1032	3.5		Ort	7	151368	
35162	G7002		Triesen	47.11336431327773	9.524288177490234		9495		4705	26.353		Gemeinde	6	151364	
35163	G7004		Triesenberg	47.118333	9.54167		9497		2566	29.8		Gemeinde	6	151364	
35164	G7001		Vaduz	47.14314613309231	9.519309997558593		9490		5070	17.3		Gemeinde	6	151364	0
35165		LIECHTENSTEIN	Fürstentum Liechtenstein								FL		2	104	0
150580	G7006	PLANKEN	Planken	47.185629331931395	9.545445442199707		9498		387			Gemeinde	6	151364	0
151347		MAELS	Mäls	47.062287672433186	9.492874145507812		9496					Ort	7	32383	0
151353		BENDERN	Bendern 	47.220675713408426 	9.509010314941406		9487					Ort	7	32385	0
151357		RUGGELL	Ruggell	47.24130783905019	9.526691436767578		9491						7	32388	0
151359		MALBUN	Malbun	47.101972739943534 	9.60780143737793		9497					Ort	7	35163	0
151362		UNTERLAND	Unterland									Wahlkreis	5	35165	0
151364		OBERLAND	Oberland									Wahlkreis	5	35165	0
151368	G7011	SCHELLENBERG	Schellenberg	47.231109345775934	9.546175003051757		9488		1032			Gemeinde	6	151362	0
151370		GAMPRIN	Gamprin	47.220675713408426	9.509439468383789		9487		1463			Ort	7	32385	0
151372	G7007	ESCHEN	Eschen	47.21298032252528	9.521799087524414		9492		4141			Gemeinde	6	151362	0
151374	G7008	MAUREN	Mauren	47.21968470299384	9.540596008300781		9493		3718			Gemeinde	6	151362	0
151377		MASESCHA	Masescha									Ort	7	35163	0
151379		SILUM	Silum									Gemeinde	7	35163	0
151381		GAFLEI	Gaflei									Ort	7	35163	0
151383		STEG	Steg									Ort	7	35163	0
151385		TRIESENBERG	Triesenberg									Ort	7	35163	0
151387		BALZERS	Balzers	47.06895262060281	9.499397277832031							Ort	7	32383	0
153404	G7010	RUGGELL	Ruggell	47.24333	9.529996		9491		1966			Gemeinde	6	151362	0
153406		RUGGELL	Ruggell									Ort	7	153404	1
153408		RUGGELL	Ruggell	47.24333	9.529996							Ort	7	153404	0
